study_id,title,doi,journal,year,country,species_english,species_latin,fish_family,sex,age,exposure_id,assay_id,pharmaceutical,pharmaceutical_class,dosage,dosage_unit,duration,duration_unit,immune_trait,immune_category_high,orientation,data_source,control_mean,control_sd,control_se,control_n,treatment_mean,treatment_sd,treatment_se,treatment_n
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp01,1178_Han_2014_exp01_assay03,metronidazole,antibiotic,0.1,mg/l,30,days,bactericidal capacity - number of bacteria colonies,humoral-mediated,-1,1178_Han_2014_fig1c.jpg,3.56E+01,7.13E+00,2.25E+00,10,5.15E+01,1.03E+01,3.26E+00,10
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp02,1178_Han_2014_exp02_assay03,metronidazole,antibiotic,0.5,mg/l,30,days,bactericidal capacity - number of bacteria colonies,humoral-mediated,-1,1178_Han_2014_fig1c.jpg,3.56E+01,7.13E+00,2.25E+00,10,7.92E+01,1.11E+01,3.51E+00,10
1178_Han_2014,Detrimental effects of metronidazole on selected innate immunological indicators in common carp (Cyprinus carpio L.),10.1007/s00128-013-1173-6,Bulletin of Environmental Contamination and Toxicology,2014,china,common carp,Cyprinus carpio,Cyprinidae,not reported,not reported,1178_Han_2014_exp03,1178_Han_2014_exp03_assay03,metronidazole,antibiotic,2.5,mg/l,30,days,bactericidal capacity - number of bacteria colonies,humoral-mediated,-1,1178_Han_2014_fig1c.jpg,3.56E+01,7.13E+00,2.25E+00,10,1.37E+02,1.82E+01,5.76E+00,10
1276_Hoeger_2005,Water-borne diclofenac affects kidney and gill integrity and selected immune parameters in brown trout (Salmo trutta f. fario),10.1016/j.aquatox.2005.07.006,Aquatic Toxicology,2005,germany,brown trout,Salmo trutta,Salmonidae,not reported,adult,1276_Hoeger_2005_exp01,1276_Hoeger_2005_exp01_assay01,diclofenac,anti-inflammatory,0.5,ug/l,21,days,leucocrit % of total blood vol,WBC,1,1276_Hoeger_2005_fig1b.jpg,2.25E+00,6.23E-01,1.80E-01,12,1.69E+00,6.39E-01,1.84E-01,12
1276_Hoeger_2005,Water-borne diclofenac affects kidney and gill integrity and selected immune parameters in brown trout (Salmo trutta f. fario),10.1016/j.aquatox.2005.07.006,Aquatic Toxicology,2005,germany,brown trout,Salmo trutta,Salmonidae,not reported,adult,1276_Hoeger_2005_exp02,1276_Hoeger_2005_exp02_assay01,diclofenac,anti-inflammatory,5,ug/l,21,days,leucocrit % of total blood vol,WBC,1,1276_Hoeger_2005_fig1b.jpg,2.25E+00,6.23E-01,1.80E-01,12,2.81E+00,6.09E-01,1.76E-01,12
1276_Hoeger_2005,Water-borne diclofenac affects kidney and gill integrity and selected immune parameters in brown trout (Salmo trutta f. fario),10.1016/j.aquatox.2005.07.006,Aquatic Toxicology,2005,germany,brown trout,Salmo trutta,Salmonidae,not reported,adult,1276_Hoeger_2005_exp03,1276_Hoeger_2005_exp03_assay01,diclofenac,anti-inflammatory,50,ug/l,21,days,leucocrit % of total blood vol,WBC,1,1276_Hoeger_2005_fig1b.jpg,2.25E+00,6.23E-01,1.80E-01,12,2.52E+00,6.09E-01,1.76E-01,12
1276_Hoeger_2005,Water-borne diclofenac affects kidney and gill integrity and selected immune parameters in brown trout (Salmo trutta f. fario),10.1016/j.aquatox.2005.07.006,Aquatic Toxicology,2005,germany,brown trout,Salmo trutta,Salmonidae,not reported,adult,1276_Hoeger_2005_exp01,1276_Hoeger_2005_exp01_assay02,diclofenac,anti-inflammatory,0.5,ug/l,21,days,serum lysozyme activity OD,humoral-mediated,1,1276_Hoeger_2005_fig2.jpg,1.26E-02,4.12E-03,6.86E-04,12,1.12E-02,4.12E-03,6.86E-04,12
1276_Hoeger_2005,Water-borne diclofenac affects kidney and gill integrity and selected immune parameters in brown trout (Salmo trutta f. fario),10.1016/j.aquatox.2005.07.006,Aquatic Toxicology,2005,germany,brown trout,Salmo trutta,Salmonidae,not reported,adult,1276_Hoeger_2005_exp02,1276_Hoeger_2005_exp02_assay02,diclofenac,anti-inflammatory,5,ug/l,21,days,serum lysozyme activity OD,humoral-mediated,1,1276_Hoeger_2005_fig2.jpg,1.26E-02,4.12E-03,6.86E-04,12,1.72E-02,4.12E-03,6.86E-04,12
1276_Hoeger_2005,Water-borne diclofenac affects kidney and gill integrity and selected immune parameters in brown trout (Salmo trutta f. fario),10.1016/j.aquatox.2005.07.006,Aquatic Toxicology,2005,germany,brown trout,Salmo trutta,Salmonidae,not reported,adult,1276_Hoeger_2005_exp03,1276_Hoeger_2005_exp03_assay02,diclofenac,anti-inflammatory,50,ug/l,21,days,serum lysozyme activity OD,humoral-mediated,1,1276_Hoeger_2005_fig2.jpg,1.26E-02,4.12E-03,6.86E-04,12,1.41E-02,4.29E-03,7.15E-04,12
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp01,1308_Hu_2021_exp01_assay01,sulfamethoxazole,antibiotic,1,ug/l,30,days,il-1b relative expression,cytokines,-1,1308_Hu_2021_fig4c.jpg,9.92E-01,2.62E-02,6.17E-03,18,8.23E-01,3.60E-02,8.49E-03,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp02,1308_Hu_2021_exp02_assay01,sulfamethoxazole,antibiotic,10,ug/l,30,days,il-1b relative expression,cytokines,-1,1308_Hu_2021_fig4c.jpg,9.92E-01,2.62E-02,6.17E-03,18,1.22E+00,1.03E-01,2.43E-02,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp03,1308_Hu_2021_exp03_assay01,sulfamethoxazole,antibiotic,100,ug/l,30,days,il-1b relative expression,cytokines,-1,1308_Hu_2021_fig4c.jpg,9.92E-01,2.62E-02,6.17E-03,18,1.57E+00,8.23E-02,1.94E-02,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp01,1308_Hu_2021_exp01_assay02,sulfamethoxazole,antibiotic,1,ug/l,30,days,il-8 relative expression,cytokines,-1,1308_Hu_2021_fig4d.jpg,9.62E-01,1.00E-02,0.00E+00,18,6.92E-01,3.85E-02,9.07E-03,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp02,1308_Hu_2021_exp02_assay02,sulfamethoxazole,antibiotic,10,ug/l,30,days,il-8 relative expression,cytokines,-1,1308_Hu_2021_fig4d.jpg,9.62E-01,1.00E-02,0.00E+00,18,9.23E-01,1.92E-01,4.53E-02,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp03,1308_Hu_2021_exp03_assay02,sulfamethoxazole,antibiotic,100,ug/l,30,days,il-8 relative expression,cytokines,-1,1308_Hu_2021_fig4d.jpg,9.62E-01,1.00E-02,0.00E+00,18,1.31E+00,1.92E-01,4.53E-02,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp01,1308_Hu_2021_exp01_assay03,sulfamethoxazole,antibiotic,1,ug/l,30,days,il-10 relative expression,cytokines,1,1308_Hu_2021_fig4e.jpg,9.76E-01,2.38E-02,5.61E-03,18,1.21E+00,1.00E-02,0.00E+00,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp02,1308_Hu_2021_exp02_assay03,sulfamethoxazole,antibiotic,10,ug/l,30,days,il-10 relative expression,cytokines,1,1308_Hu_2021_fig4e.jpg,9.76E-01,2.38E-02,5.61E-03,18,9.05E-01,7.14E-02,1.68E-02,18
1308_Hu_2021,"Effects of sulfamethoxazole on the growth, oxidative stress and inflammatory response in the liver of juvenile Nile tilapia (Oreochromis niloticus)",10.1016/j.aquaculture.2021.736935,Aquaculture,2021,china,nile tilapia,Oreochromis niloticus,Cichlidae,not reported,juvenile,1308_Hu_2021_exp03,1308_Hu_2021_exp03_assay03,sulfamethoxazole,antibiotic,100,ug/l,30,days,il-10 relative expression,cytokines,1,1308_Hu_2021_fig4e.jpg,9.76E-01,2.38E-02,5.61E-03,18,5.48E-01,1.43E-01,3.37E-02,18
1373_Iftikhar_2021,"Assessment of immunohematological, hematological and biochemical responses in cultivable fish Cyprinus carpio exposed to an antibiotic sulfamethoxazole (SMX)",10.2166/wh.2020.183,Journal of Water and Health,2021,pakistan,common carp,Cyprinus carpio,Cyprinidae,not reported,juvenile,1373_Iftikhar_2021_exp01,1373_Iftikhar_2021_exp01_assay01,sulfamethoxazole,antibiotic,25,ug/l,28,days,wbc(x10^3/ul),WBC,1,1373_Iftikhar_2021_fig3.jpg,1.33E+02,1.30E+01,4.59E+00,8,2.00E+02,2.59E+01,9.17E+00,8
1373_Iftikhar_2021,"Assessment of immunohematological, hematological and biochemical responses in cultivable fish Cyprinus carpio exposed to an antibiotic sulfamethoxazole (SMX)",10.2166/wh.2020.183,Journal of Water and Health,2021,pakistan,common carp,Cyprinus carpio,Cyprinidae,not reported,juvenile,1373_Iftikhar_2021_exp02,1373_Iftikhar_2021_exp02_assay01,sulfamethoxazole,antibiotic,50,ug/l,28,days,wbc(x10^3/ul),WBC,1,1373_Iftikhar_2021_fig3.jpg,1.33E+02,1.30E+01,4.59E+00,8,2.26E+02,2.59E+01,9.17E+00,8
1373_Iftikhar_2021,"Assessment of immunohematological, hematological and biochemical responses in cultivable fish Cyprinus carpio exposed to an antibiotic sulfamethoxazole (SMX)",10.2166/wh.2020.183,Journal of Water and Health,2021,pakistan,common carp,Cyprinus carpio,Cyprinidae,not reported,juvenile,1373_Iftikhar_2021_exp03,1373_Iftikhar_2021_exp03_assay01,sulfamethoxazole,antibiotic,100,ug/l,28,days,wbc(x10^3/ul),WBC,1,1373_Iftikhar_2021_fig3.jpg,1.33E+02,1.30E+01,4.59E+00,8,3.00E+02,3.46E+01,1.22E+01,8
1373_Iftikhar_2021,"Assessment of immunohematological, hematological and biochemical responses in cultivable fish Cyprinus carpio exposed to an antibiotic sulfamethoxazole (SMX)",10.2166/wh.2020.183,Journal of Water and Health,2021,pakistan,common carp,Cyprinus carpio,Cyprinidae,not reported,juvenile,1373_Iftikhar_2021_exp04,1373_Iftikhar_2021_exp04_assay01,sulfamethoxazole,antibiotic,200,ug/l,28,days,wbc(x10^3/ul),WBC,1,1373_Iftikhar_2021_fig3.jpg,1.33E+02,1.30E+01,4.59E+00,8,3.04E+02,3.89E+01,1.38E+01,8
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp01,1414_Jeffries_2015_exp01_assay01,ibuprofen,anti-inflammatory,0.0115,mg/l,96,hours,ccl28 fold change,cytokines,1,1414_Jeffries_2015_fig3gene.jpg,1.08E+00,6.81E-01,1.08E-01,40,9.15E-01,1.95E-01,3.08E-02,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp02,1414_Jeffries_2015_exp02_assay01,ibuprofen,anti-inflammatory,0.115,mg/l,96,hours,ccl28 fold change,cytokines,1,1414_Jeffries_2015_fig3gene.jpg,1.08E+00,6.81E-01,1.08E-01,40,8.23E-01,5.84E-01,9.23E-02,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp03,1414_Jeffries_2015_exp03_assay01,ibuprofen,anti-inflammatory,1.15,mg/l,96,hours,ccl28 fold change,cytokines,1,1414_Jeffries_2015_fig3gene.jpg,1.08E+00,6.81E-01,1.08E-01,40,6.54E-01,2.92E-01,4.62E-02,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp01,1414_Jeffries_2015_exp01_assay02,ibuprofen,anti-inflammatory,0.0115,mg/l,96,hours,mmp9 fold change,cell-mediated,1,1414_Jeffries_2015_fig3gene2.jpg,1.18E+00,1.18E+00,1.86E-01,40,1.20E+00,9.81E-01,1.55E-01,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp02,1414_Jeffries_2015_exp02_assay02,ibuprofen,anti-inflammatory,0.115,mg/l,96,hours,mmp9 fold change,cell-mediated,1,1414_Jeffries_2015_fig3gene2.jpg,1.18E+00,1.18E+00,1.86E-01,40,1.76E+00,1.67E+00,2.64E-01,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp03,1414_Jeffries_2015_exp03_assay02,ibuprofen,anti-inflammatory,1.15,mg/l,96,hours,mmp9 fold change,cell-mediated,1,1414_Jeffries_2015_fig3gene2.jpg,1.18E+00,1.18E+00,1.86E-01,40,1.26E+00,1.69E+01,2.67E+00,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp01,1414_Jeffries_2015_exp01_assay03,ibuprofen,anti-inflammatory,0.0115,mg/l,96,hours,sta fold change,cell-mediated,1,1414_Jeffries_2015_fig3gene3.jpg,1.07E+00,8.72E-01,1.38E-01,40,9.29E-01,1.94E-01,3.07E-02,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp02,1414_Jeffries_2015_exp02_assay03,ibuprofen,anti-inflammatory,0.115,mg/l,96,hours,sta fold change,cell-mediated,1,1414_Jeffries_2015_fig3gene3.jpg,1.07E+00,8.72E-01,1.38E-01,40,9.44E-01,2.91E-01,4.60E-02,40
1414_Jeffries_2015,Chronic exposures to low and high concentrations of ibuprofen elicit different gene response patterns in a euryhaline fish,10.1007/s11356-015-4227-y,Environmental Science and Pollution Research,2015,usa,inland silverside,Menidia beryllina,Atherinopsidae,not reported,not reported,1414_Jeffries_2015_exp03,1414_Jeffries_2015_exp03_assay03,ibuprofen,anti-inflammatory,1.15,mg/l,96,hours,sta fold change,cell-mediated,1,1414_Jeffries_2015_fig3gene3.jpg,1.07E+00,8.72E-01,1.38E-01,40,9.90E-01,5.82E-01,9.20E-02,40
1535_Kernen_2022,Estrogens as immunotoxicants: 17?-ethinylestradiol exposure retards thymus development in zebrafish (Danio rerio),10.1016/j.aquatox.2021.106025,Aquatic Toxicology,2022,switzerland,zebrafish,Danio rerio,Cyprinidae,not reported,eggs,1535_Kernen_2022_exp01,1535_Kernen_2022_exp01_assay01,ee2,contraceptive,3,ng/l,64,days,thymocytes number,WBC,1,1535_Kernen_2022_fig5g.jpg,2.95E+05,1.27E+05,2.64E+04,23,2.11E+05,1.41E+05,3.52E+04,16
1535_Kernen_2022,Estrogens as immunotoxicants: 17?-ethinylestradiol exposure retards thymus development in zebrafish (Danio rerio),10.1016/j.aquatox.2021.106025,Aquatic Toxicology,2022,switzerland,zebrafish,Danio rerio,Cyprinidae,not reported,eggs,1535_Kernen_2022_exp02,1535_Kernen_2022_exp02_assay01,ee2,contraceptive,10,ng/l,64,days,thymocytes number,WBC,1,1535_Kernen_2022_fig5g.jpg,2.95E+05,1.27E+05,2.64E+04,23,5.63E+04,2.81E+04,7.52E+03,14
1574_Kitamura_2022,"Sublethal biochemical, histopathological and genotoxicological effects of short-term exposure to ciprofloxacin in catfish Rhamdia quelen",10.1016/j.envpol.2022.118935,Environmental Pollution,2022,brazil,south american catfish,Rhamdia quelen,Heptapteridae,not reported,juvenile,1574_Kitamura_2022_exp01,1574_Kitamura_2022_exp01_assay01,ciprofloxacin,antibiotic,1,ug/l,96,hours,leucocytes,WBC,1,1574_Kitamura_2022_fig2c.jpg,1.39E+04,6.18E+03,1.55E+03,16,1.26E+04,7.27E+03,1.82E+03,16
1574_Kitamura_2022,"Sublethal biochemical, histopathological and genotoxicological effects of short-term exposure to ciprofloxacin in catfish Rhamdia quelen",10.1016/j.envpol.2022.118935,Environmental Pollution,2022,brazil,south american catfish,Rhamdia quelen,Heptapteridae,not reported,juvenile,1574_Kitamura_2022_exp02,1574_Kitamura_2022_exp02_assay01,ciprofloxacin,antibiotic,10,ug/l,96,hours,leucocytes,WBC,1,1574_Kitamura_2022_fig2c.jpg,1.39E+04,6.18E+03,1.55E+03,16,1.23E+04,6.91E+03,1.73E+03,16
1574_Kitamura_2022,"Sublethal biochemical, histopathological and genotoxicological effects of short-term exposure to ciprofloxacin in catfish Rhamdia quelen",10.1016/j.envpol.2022.118935,Environmental Pollution,2022,brazil,south american catfish,Rhamdia quelen,Heptapteridae,not reported,juvenile,1574_Kitamura_2022_exp03,1574_Kitamura_2022_exp03_assay01,ciprofloxacin,antibiotic,100,ug/l,96,hours,leucocytes,WBC,1,1574_Kitamura_2022_fig2c.jpg,1.39E+04,6.18E+03,1.55E+03,16,6.91E+03,3.27E+03,8.18E+02,16
1645_Kugathas_2013,"Metabolic and Reproductive Effects of Relatively Low Concentrations of Beclomethasone Dipropionate, a Synthetic Glucocorticoid, on Fathead Minnows",10.1021/es4019332,Environmental Science and Technology,2013,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,mixed,adult,1645_Kugathas_2013_exp01,1645_Kugathas_2013_exp01_assay01,beclomethasone dipropionate,anti-inflammatory,0.1,ug/l,21,days,percentage lymphocyte/thrombocytes,WBC,1,1645_Kugathas_2013_fig2.jpg,9.06E+01,5.62E+00,1.78E+00,10,8.49E+01,5.22E+00,1.65E+00,10
1645_Kugathas_2013,"Metabolic and Reproductive Effects of Relatively Low Concentrations of Beclomethasone Dipropionate, a Synthetic Glucocorticoid, on Fathead Minnows",10.1021/es4019332,Environmental Science and Technology,2013,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,mixed,adult,1645_Kugathas_2013_exp02,1645_Kugathas_2013_exp02_assay01,beclomethasone dipropionate,anti-inflammatory,1,ug/l,21,days,percentage lymphocyte/thrombocytes,WBC,1,1645_Kugathas_2013_fig2.jpg,9.06E+01,5.62E+00,1.78E+00,10,7.14E+01,4.33E+00,1.37E+00,10
1645_Kugathas_2013,"Metabolic and Reproductive Effects of Relatively Low Concentrations of Beclomethasone Dipropionate, a Synthetic Glucocorticoid, on Fathead Minnows",10.1021/es4019332,Environmental Science and Technology,2013,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,mixed,adult,1645_Kugathas_2013_exp03,1645_Kugathas_2013_exp03_assay01,beclomethasone dipropionate,anti-inflammatory,10,ug/l,21,days,percentage lymphocyte/thrombocytes,WBC,1,1645_Kugathas_2013_fig2.jpg,9.06E+01,5.62E+00,1.78E+00,10,6.05E+01,7.24E+00,2.29E+00,10
1647_Kugathas_2011,Synthetic glucocorticoids in the environment: first results on their potential impacts on fish,10.1021/es104105e,Environmental Science and Technology,2011,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,not reported,adult,1647_Kugathas_2011_exp01,1647_Kugathas_2011_exp01_assay01,prednisolone,anti-inflammatory,1,ug/l,21,days,number of leukocytes 10^3,WBC,1,1647_Kugathas_2011_fig4beclo.jpg,1.45E+02,3.27E+01,1.03E+01,10,1.26E+02,2.88E+01,9.10E+00,10
